,Quartile 1,Quartile 2,Quartile 3
x,"[0.7968813785576099, 0.8000931530887134, 0.7982811174192077, 0.8035258265232367, 0.7956455108101562, 0.8009617664810837, 0.7997163661913398, 0.7965141242025265]","[0.8603663384118221, 0.8604492398320973, 0.8522866416740633, 0.8536863805356611, 0.8589310896396901, 0.8551216293077932, 0.8563670295975372, 0.8564574844848389, 0.8554984162051669, 0.8519193873189801]","[0.8924900608462458, 0.8901843763706573, 0.8947939230107479, 0.8916196251427891, 0.8939253096183778, 0.8965704487697197]"
y,"[1.4013356476661527, 1.4008221899161757, 1.4010673964157718, 1.3993583491872497, 1.4024133391733522, 1.400607148996782, 1.4009531744097719, 1.4018398843126572]","[1.387566679000948, 1.3871123739679123, 1.3902419803100563, 1.3900896200305417, 1.3877650598292153, 1.3899026077259855, 1.3893306718561054, 1.3882847070071451, 1.3895982639599957, 1.3905783123030209]","[1.3749008817686903, 1.3776833536264328, 1.373666599977818, 1.3774379567854722, 1.3746181281826444, 1.3736210610134099]"
