,0
0,1.3846
1,1.4364
2,1.3808
3,1.3509
4,1.4153
5,1.4152
6,1.3861
7,1.4164
8,1.4267
9,1.383
10,1.3864
11,1.4127
12,1.4146
13,1.4154
14,1.4241
15,1.4009
16,1.4165
17,1.4061
18,1.3414
19,1.3885
20,1.435
21,1.3379
22,1.3914
23,1.389
24,1.3717
25,1.4231
26,1.384
27,1.3319
28,1.4078
29,1.3938
30,1.4025
31,1.4227
32,1.4197
33,1.3461
34,1.3993
35,1.3688
36,1.4282
37,1.3792
38,1.3795
39,1.4215
40,1.3773
41,1.3881
42,1.3871
43,1.4095
44,1.4169
45,1.3322
46,1.4181
47,1.4076
48,1.3906
49,1.4358
50,1.4234
51,1.3912
52,1.3846
53,1.4253
54,1.3882
55,1.4087
56,1.4443
57,1.4326
58,1.3819
59,1.3868
60,1.4243
61,1.4171
62,1.4227
63,1.4189
64,1.3547
65,1.4091
66,1.394
67,1.4263
68,1.3685
69,1.3936
70,1.4277
71,1.4042
72,1.4016
73,1.3971
74,1.4062
75,1.3974
76,1.3876
77,1.335
78,1.4018
79,1.3952
80,1.4144
81,1.4044
82,1.3843
83,1.4216
84,1.3984
85,1.3929
86,1.395
87,1.4024
88,1.4125
89,1.3833
90,1.4099
91,1.3873
92,1.4179
93,1.3984
94,1.4016
95,1.3982
96,1.431
97,1.3546
98,1.3845
99,1.354
100,1.4203
101,1.4029
102,1.4227
103,1.4193
104,1.3858
105,1.4231
106,1.3802
107,1.38
108,1.3914
109,1.4183
110,1.3797
111,1.4258
112,1.3856
113,1.3893
114,1.3709
115,1.3906
116,1.429
117,1.3993
118,1.4098
119,1.3912
120,1.3833
121,1.3984
122,1.3974
123,1.3864
124,1.3881
125,1.4208
126,1.4194
127,1.3918
128,1.3777
129,1.4104
130,1.365
131,1.3896
132,1.4078
133,1.4305
134,1.4259
135,1.4087
136,1.3994
137,1.4253
138,1.4165
139,1.4125
140,1.4274
141,1.4042
142,1.3878
143,1.4097
144,1.3792
145,1.3826
146,1.3823
147,1.4164
148,1.4289
149,1.4185
150,1.3899
151,1.3835
152,1.4047
153,1.4297
154,1.4098
155,1.4062
156,1.3733
157,1.4114
158,1.4216
159,1.3714
