,mol,dup
179,CHEMBL168(13),CHEMBL168
180,CHEMBL129681(3),CHEMBL129681
181,CHEMBL445301(1),CHEMBL445301
182,CHEMBL391533(1),CHEMBL391533
183,CHEMBL168(14),CHEMBL168
184,CHEMBL96952(1),CHEMBL96952
185,CHEMBL318919(1),CHEMBL318919
186,CHEMBL426373(9),CHEMBL426373
187,CHEMBL184041(4),CHEMBL184041
188,CHEMBL1783772(1),CHEMBL1783772
189,CHEMBL1783777(1),CHEMBL1783777
190,CHEMBL64690(1),CHEMBL64690
191,CHEMBL2263122(1),CHEMBL2263122
192,CHEMBL2262830(1),CHEMBL2262830
193,CHEMBL193691(1),CHEMBL193691
194,CHEMBL229670(1),CHEMBL229670
195,CHEMBL1085961(1),CHEMBL1085961
196,CHEMBL193134(1),CHEMBL193134
197,CHEMBL284363(1),CHEMBL284363
198,CHEMBL24712(1),CHEMBL24712
199,CHEMBL24003(1),CHEMBL24003
200,CHEMBL1086499(1),CHEMBL1086499
201,CHEMBL1085070(1),CHEMBL1085070
202,CHEMBL190535(1),CHEMBL190535
203,CHEMBL1084830(1),CHEMBL1084830
204,CHEMBL508583(1),CHEMBL508583
205,CHEMBL168(15),CHEMBL168
206,CHEMBL436933(1),CHEMBL436933
207,CHEMBL139393(1),CHEMBL139393
208,CHEMBL591978(1),CHEMBL591978
209,CHEMBL193233(1),CHEMBL193233
210,CHEMBL426373(10),CHEMBL426373
211,CHEMBL168(16),CHEMBL168
212,CHEMBL193233(2),CHEMBL193233
213,CHEMBL184041(5),CHEMBL184041
214,CHEMBL223067(1),CHEMBL223067
215,CHEMBL224735(1),CHEMBL224735
216,CHEMBL259628(1),CHEMBL259628
217,CHEMBL338073(1),CHEMBL338073
218,CHEMBL457064(2),CHEMBL457064
219,CHEMBL8660(1),CHEMBL8660
220,CHEMBL169(10),CHEMBL169
221,CHEMBL99271(1),CHEMBL99271
222,CHEMBL95818(1),CHEMBL95818
223,CHEMBL316683(1),CHEMBL316683
224,CHEMBL98053(1),CHEMBL98053
225,CHEMBL1765347(1),CHEMBL1765347
226,CHEMBL373105(1),CHEMBL373105
227,CHEMBL371929(1),CHEMBL371929
228,CHEMBL366281(2),CHEMBL366281
229,CHEMBL1086229(1),CHEMBL1086229
230,CHEMBL286007(2),CHEMBL286007
